# AUTOGENERADO por betbot (rankings derivados de resultados)
# fuente: rankings oficiales observados por partido en los mirrors de resultados (TML / TennisCourtLog / tennis-data)
# fetched_at: 2026-08-09T04:49:54+00:00 · ventana: 120d · jugadores: 218
date_published,rank,player,points,observed_date,source
2026-08-03,1,sinner_j,13450,2026-07-12,derived_from_results
2026-08-03,2,alcaraz_c,13240,2026-04-15,derived_from_results
2026-08-03,3,zverev_a,7190,2026-07-12,derived_from_results
2026-08-03,6,de_minaur_a,3660,2026-07-31,derived_from_results
2026-08-03,8,djokovic_n,3760,2026-07-10,derived_from_results
2026-08-03,8,shelton_b,3580,2026-08-01,derived_from_results
2026-08-03,9,medvedev_d,3580,2026-07-03,derived_from_results
2026-08-03,9,cobolli_f,3460,2026-07-15,derived_from_results
2026-08-03,10,fritz_t,3300,2026-08-03,derived_from_results
2026-08-03,11,bublik_a,2610,2026-07-25,derived_from_results
2026-08-03,12,lehecka_j,2470,2026-07-30,derived_from_results
2026-08-03,13,ruud_c,2435,2026-07-17,derived_from_results
2026-08-03,14,rublev_a,2380,2026-07-24,derived_from_results
2026-08-03,15,musetti_l,2315,2026-08-01,derived_from_results
2026-08-03,16,tien_l,2245,2026-07-28,derived_from_results
2026-08-03,17,mensik_j,2205,2026-07-30,derived_from_results
2026-08-03,19,vacherot_v,2188,2026-07-22,derived_from_results
2026-08-03,19,tiafoe_f,2180,2026-07-28,derived_from_results
2026-08-03,20,cerundolo_f,2060,2026-07-31,derived_from_results
2026-08-03,20,davidovich_fokina_a,2160,2026-07-17,derived_from_results
2026-08-03,21,paul_t,2025,2026-07-28,derived_from_results
2026-08-03,22,fils_a,1990,2026-07-28,derived_from_results
2026-08-03,23,darderi_l,1975,2026-07-30,derived_from_results
2026-08-03,24,jodar_r,1927,2026-08-03,derived_from_results
2026-08-03,26,khachanov_k,1780,2026-07-30,derived_from_results
2026-08-03,27,rinderknech_a,1723,2026-07-22,derived_from_results
2026-08-03,27,fonseca_j,1710,2026-07-03,derived_from_results
2026-08-03,29,auger_aliassime_f,1680,2026-07-07,derived_from_results
2026-08-03,29,humbert_u,1575,2026-07-31,derived_from_results
2026-08-03,30,tabilo_a,1558,2026-08-02,derived_from_results
2026-08-03,31,etcheverry_t,1510,2026-07-29,derived_from_results
2026-08-03,33,nakashima_b,1360,2026-08-02,derived_from_results
2026-08-03,35,buse_i,1312,2026-07-23,derived_from_results
2026-08-03,35,arnaldi_m,1349,2026-07-27,derived_from_results
2026-08-03,36,bergs_z,1340,2026-07-27,derived_from_results
2026-08-03,37,collignon_r,1234,2026-07-21,derived_from_results
2026-08-03,38,blockx_a,1218,2026-07-26,derived_from_results
2026-08-03,39,norrie_c,1165,2026-08-01,derived_from_results
2026-08-03,40,michelsen_a,1165,2026-08-01,derived_from_results
2026-08-03,41,struff_j_l,1104,2026-07-22,derived_from_results
2026-08-03,43,machac_t,1080,2026-05-27,derived_from_results
2026-08-03,44,munar_j,1075,2026-07-13,derived_from_results
2026-08-03,47,quinn_e,1021,2026-07-01,derived_from_results
2026-08-03,47,mannarino_a,1005,2026-07-30,derived_from_results
2026-08-03,47,navone_m,1005,2026-07-23,derived_from_results
2026-08-03,48,borges_n,995,2026-07-22,derived_from_results
2026-08-03,50,cerundolo_j_m,989,2026-07-21,derived_from_results
2026-08-03,51,tsitsipas_s,980,2026-07-30,derived_from_results
2026-08-03,51,berrettini_m,985,2026-07-04,derived_from_results
2026-08-03,52,hanfmann_y,974,2026-07-24,derived_from_results
2026-08-03,53,marozsan_f,970,2026-07-01,derived_from_results
2026-08-03,55,van_de_zandschulp_b,969,2026-07-21,derived_from_results
2026-08-03,56,baez_s,950,2026-07-23,derived_from_results
2026-08-03,56,atmane_t,967,2026-07-31,derived_from_results
2026-08-03,57,moutet_c,965,2026-07-29,derived_from_results
2026-08-03,58,kecmanovic_m,930,2026-07-21,derived_from_results
2026-08-03,60,burruchaga_r,925,2026-07-24,derived_from_results
2026-08-03,61,tirante_t_a,921,2026-07-17,derived_from_results
2026-08-03,61,altmaier_d,924,2026-07-22,derived_from_results
2026-08-03,62,cilic_m,911,2026-06-29,derived_from_results
2026-08-03,63,adolfo_daniel_vallejo,918,2026-07-21,derived_from_results
2026-08-03,63,landaluce_m,920,2026-07-29,derived_from_results
2026-08-03,65,bellucci_m,876,2026-06-23,derived_from_results
2026-08-03,65,carreno_busta_p,896,2026-07-23,derived_from_results
2026-08-03,67,griekspoor_t,895,2026-07-27,derived_from_results
2026-08-03,68,shapovalov_d,890,2026-08-02,derived_from_results
2026-08-03,68,kopriva_v,881,2026-07-20,derived_from_results
2026-08-03,68,medjedovic_h,844,2026-06-29,derived_from_results
2026-08-03,69,ugo_carabelli_c,880,2026-07-20,derived_from_results
2026-08-03,72,majchrzak_k,857,2026-07-30,derived_from_results
2026-08-03,75,choinski_j,775,2026-07-14,derived_from_results
2026-08-03,76,opelka_r,758,2026-05-24,derived_from_results
2026-08-03,76,fucsovics_m,781,2026-07-03,derived_from_results
2026-08-03,76,svajda_z,781,2026-07-28,derived_from_results
2026-08-03,77,royer_v,768,2026-07-14,derived_from_results
2026-08-03,77,brooksby_j,770,2026-07-31,derived_from_results
2026-08-03,78,van_assche_l,755,2026-07-26,derived_from_results
2026-08-03,81,molcan_a,747,2026-07-23,derived_from_results
2026-08-03,83,sonego_l,743,2026-07-15,derived_from_results
2026-08-03,83,mpetshi_perricard_g,710,2026-06-30,derived_from_results
2026-08-03,83,duckworth_j,746,2026-07-30,derived_from_results
2026-08-03,83,halys_q,743,2026-07-25,derived_from_results
2026-08-03,84,shevchenko_a,736,2026-07-21,derived_from_results
2026-08-03,84,prizmic_d,741,2026-07-16,derived_from_results
2026-08-03,85,giron_m,730,2026-07-28,derived_from_results
2026-08-03,86,nava_e,704,2026-06-29,derived_from_results
2026-08-03,87,dzumhur_d,719,2026-07-21,derived_from_results
2026-08-03,88,faria_j,718,2026-07-24,derived_from_results
2026-08-03,91,spizzirri_e,660,2026-05-25,derived_from_results
2026-08-03,93,hijikata_r,677,2026-07-29,derived_from_results
2026-08-03,93,bonzi_b,673,2026-06-30,derived_from_results
2026-08-03,94,shimabukuro_s,677,2026-07-29,derived_from_results
2026-08-03,95,trungelliti_m,678,2026-07-22,derived_from_results
2026-08-03,95,kovacevic_a,673,2026-07-28,derived_from_results
2026-08-03,96,hurkacz_h,665,2026-07-05,derived_from_results
2026-08-03,96,walton_a,670,2026-07-30,derived_from_results
2026-08-03,98,de_jong_j,668,2026-07-21,derived_from_results
2026-08-03,99,diallo_g,645,2026-07-28,derived_from_results
2026-08-03,102,wu_y,634,2026-06-29,derived_from_results
2026-08-03,102,comesana_f,598,2026-05-30,derived_from_results
2026-08-03,103,popyrin_a,630,2026-06-30,derived_from_results
