# AUTOGENERADO por betbot (rankings derivados de resultados)
# fuente: rankings oficiales observados por partido en los mirrors de resultados (TML / TennisCourtLog / tennis-data)
# fetched_at: 2026-08-09T04:49:54+00:00 · ventana: 120d · jugadores: 241
date_published,rank,player,points,observed_date,source
2026-08-03,1,sabalenka_a,9090,2026-07-05,derived_from_results
2026-08-03,2,rybakina_e,8143,2026-07-04,derived_from_results
2026-08-03,3,swiatek_i,6409,2026-07-04,derived_from_results
2026-08-03,3,pegula_j,6300,2026-08-03,derived_from_results
2026-08-03,5,andreeva_m,5653,2026-07-01,derived_from_results
2026-08-03,6,anisimova_a,5523,2026-07-04,derived_from_results
2026-08-03,7,gauff_c,4879,2026-07-09,derived_from_results
2026-08-03,9,mboko_v,3670,2026-06-10,derived_from_results
2026-08-03,9,muchova_k,3878,2026-07-11,derived_from_results
2026-08-03,10,svitolina_e,4351,2026-08-01,derived_from_results
2026-08-03,11,bencic_b,3385,2026-07-05,derived_from_results
2026-08-03,12,noskova_l,3359,2026-07-11,derived_from_results
2026-08-03,13,osaka_n,3086,2026-08-01,derived_from_results
2026-08-03,13,kostyuk_m,3156,2026-07-09,derived_from_results
2026-08-03,16,jovic_i,2436,2026-07-05,derived_from_results
2026-08-03,17,paolini_j,2423,2026-07-08,derived_from_results
2026-08-03,18,shnaider_d,2458,2026-08-01,derived_from_results
2026-08-03,18,cirstea_s,2415,2026-07-04,derived_from_results
2026-08-03,19,alexandrova_e,2301,2026-07-28,derived_from_results
2026-08-03,20,kalinskaya_a,2007,2026-07-31,derived_from_results
2026-08-03,21,bouzkova_m,2019,2026-07-24,derived_from_results
2026-08-03,21,chwalinska_m,1996,2026-06-29,derived_from_results
2026-08-03,22,keys_m,1964,2026-07-27,derived_from_results
2026-08-03,26,navarro_e,1674,2026-07-29,derived_from_results
2026-08-03,26,krejcikova_b,1679,2026-07-25,derived_from_results
2026-08-03,26,baptiste_h,1683,2026-05-27,derived_from_results
2026-08-03,27,mertens_e,1758,2026-07-08,derived_from_results
2026-08-03,27,potapova_a,1667,2026-07-31,derived_from_results
2026-08-03,28,eala_a,1666,2026-08-03,derived_from_results
2026-08-03,30,tauson_c,1564,2026-07-27,derived_from_results
2026-08-03,31,li_a,1541,2026-07-28,derived_from_results
2026-08-03,31,ostapenko_j,1472,2026-07-03,derived_from_results
2026-08-03,34,vekic_d,1386,2026-06-30,derived_from_results
2026-08-03,34,fernandez_l,1344,2026-07-29,derived_from_results
